Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,25,CHI,NBA,PF,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,20.8,31.2,0.0,0.0,0.0,0.0,0.0,0.0,208,111,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,20.8,31.2,0.0,0.0,0.0,0.0,0.0,0.0,208,111,
