"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Leon Powe,,4.9,4.3,1.7,0.6,0.5
Tracy Murray,95.3,4.9,4.4,2.2,0.5,0.5
Cornell Warner,89.3,4.7,3.5,1.7,0.6,0.6
Isaiah Hartenstein,88.5,5.5,4.6,1.6,1.1,0.5
Santi Aldama,87.0,5.0,4.6,2.4,0.3,
Ed Ratleff,86.7,5.6,4.5,2.1,1.0,0.5
Kwame Brown,85.7,4.9,3.6,2.5,0.8,0.6
Travis Grant,85.3,5.6,4.1,1.5,0.5,
Kermit Washington,85.1,5.3,4.3,0.9,0.9,0.8
Ed Conlin,84.8,4.7,4.3,2.0,2.0,0.7
Jabari Smith Jr.,83.7,5.6,4.2,1.9,,
