"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Leon Powe,,4.9,4.3,1.7,0.6,0.5,,
Santi Aldama,87.0,5.0,4.6,2.4,0.3,,,
Ed Ratleff,86.7,5.6,4.5,2.1,1.0,0.5,,
Travis Grant,85.3,5.6,4.1,1.5,0.5,,,
Jabari Smith Jr.,83.7,5.6,4.2,1.9,,,,
Sam Hauser,83.0,4.9,4.4,3.4,0.6,,,
Larry McNeill,82.8,4.4,4.3,2.3,1.5,0.7,0.1,
Nick Richards,82.4,5.1,4.2,3.0,1.0,0.0,,
Ed Conlin,81.2,4.7,4.3,2.0,2.0,0.7,0.5,-0.1
Leonard Gray,80.2,4.1,4.0,1.8,,,,
Landry Fields,80.1,5.3,3.4,1.1,0.4,0.3,,
