Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2007-08,24,BOS,NBA,C,23.0,1.0,270.0,36.0,73.0,0.493,0.0,0.0,36.0,73.0,0.493,0.493,44.0,66.0,0.667,32.0,30.0,62.0,4.0,0.0,3.0,12.0,45.0,116.0,0.0,
2008-09,25,BOS,NBA,PF,2.0,0.0,24.0,3.0,7.0,0.429,0.0,0.0,3.0,7.0,0.429,0.429,4.0,6.0,0.667,1.0,8.0,9.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,
2009-10,26,CLE,NBA,SF,3.0,0.0,9.0,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,
2010-11,27,MEM,NBA,C,4.0,0.0,14.0,2.0,8.0,0.25,0.0,0.0,2.0,8.0,0.25,0.25,3.0,4.0,0.75,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,32.0,1.0,317.0,42.0,92.0,0.457,0.0,0.0,42.0,92.0,0.457,0.457,54.0,80.0,0.675,36.0,41.0,77.0,4.0,0.0,3.0,14.0,51.0,138.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,3.0,812.0,108.0,236.0,0.457,0.0,0.0,108.0,236.0,0.457,0.457,138.0,205.0,0.675,92.0,105.0,197.0,10.0,0.0,8.0,36.0,131.0,354.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,25.0,1.0,294.0,39.0,80.0,0.488,0.0,0.0,39.0,80.0,0.488,0.488,48.0,72.0,0.667,33.0,38.0,71.0,4.0,0.0,3.0,13.0,48.0,126.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,4.0,0.0,14.0,2.0,8.0,0.25,0.0,0.0,2.0,8.0,0.25,0.25,3.0,4.0,0.75,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,3.0,0.0,9.0,1.0,4.0,0.25,0.0,0.0,1.0,4.0,0.25,0.25,3.0,4.0,0.75,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,
