Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,24,BOS,NBA,C,23.0,1.0,270.0,7.4,15.1,0.493,0.0,0.0,7.4,15.1,0.493,0.493,9.1,13.7,0.667,6.6,6.2,12.8,0.8,0.0,0.6,2.5,9.3,24.0,118.0,108.0,
2008-09,25,BOS,NBA,PF,2.0,0.0,24.0,6.6,15.3,0.429,0.0,0.0,6.6,15.3,0.429,0.429,8.8,13.1,0.667,2.2,17.5,19.7,0.0,0.0,0.0,2.2,6.6,21.9,103.0,105.0,
2009-10,26,CLE,NBA,SF,3.0,0.0,9.0,5.8,23.0,0.25,0.0,0.0,5.8,23.0,0.25,0.25,17.3,23.0,0.75,5.8,5.8,11.5,0.0,0.0,0.0,5.8,17.3,28.8,88.0,111.0,
2010-11,27,MEM,NBA,C,4.0,0.0,14.0,7.6,30.5,0.25,0.0,0.0,7.6,30.5,0.25,0.25,11.4,15.2,0.75,7.6,7.6,15.2,0.0,0.0,0.0,0.0,0.0,26.7,93.0,111.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,32.0,1.0,317.0,7.3,16.1,0.457,0.0,0.0,7.3,16.1,0.457,0.457,9.4,14.0,0.675,6.3,7.2,13.4,0.7,0.0,0.5,2.4,8.9,24.1,114.0,108.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,25.0,1.0,294.0,7.4,15.1,0.488,0.0,0.0,7.4,15.1,0.488,0.488,9.1,13.6,0.667,6.2,7.2,13.4,0.8,0.0,0.6,2.5,9.1,23.8,117.0,107.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,4.0,0.0,14.0,7.6,30.5,0.25,0.0,0.0,7.6,30.5,0.25,0.25,11.4,15.2,0.75,7.6,7.6,15.2,0.0,0.0,0.0,0.0,0.0,26.7,93.0,111.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,3.0,0.0,9.0,5.8,23.0,0.25,0.0,0.0,5.8,23.0,0.25,0.25,17.3,23.0,0.75,5.8,5.8,11.5,0.0,0.0,0.0,5.8,17.3,28.8,88.0,111.0,
