"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Onyeka Okongwu,,7.2,7.1,4.5,4.2,1.9,,,,
Reggie King,85.2,8.3,6.2,4.8,3.4,1.6,0.5,,,
Chandler Parsons,84.9,7.6,7.0,5.5,4.3,3.4,1.1,0.2,0.0,-0.1
Michael Porter Jr.,84.7,6.9,6.4,6.2,4.3,2.9,-0.2,,,
Isaiah Hartenstein,84.3,8.1,6.8,5.5,4.6,1.6,1.1,0.5,,
Julian Hammond,83.6,6.7,6.6,5.7,5.1,0.8,,,,
Zion Williamson,82.3,8.7,7.5,3.6,2.5,2.0,,,,
Greg Smith,81.2,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0.0,
Doug Moe,80.8,9.4,5.2,4.8,4.3,1.8,,,,
John Shumate,80.6,7.7,6.5,6.3,3.5,0.5,,,,
Sonny Parker,80.4,7.0,6.8,6.2,3.0,2.3,1.6,,,
