"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
James Ennis III,,3.1,3.1,2.6,2.4,2.0,1.9,0.9,0.1,,,
P.J. Washington,89.6,3.4,2.7,2.6,2.4,2.0,1.9,,,,,
Georges Niang,87.7,2.9,2.8,2.6,2.5,2.4,1.8,1.3,0.0,-0.3,,
Corky Calhoun,87.6,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,,,
Mike Scott,87.4,3.2,2.7,2.6,2.5,2.5,1.6,1.0,0.9,-0.1,,
Matt Bullard,86.9,3.4,2.6,2.5,2.4,1.8,1.7,1.0,0.6,0.5,0.2,0.1
Kevin Restani,86.8,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,,,
Duane Ferrell,85.6,3.5,3.2,2.8,1.9,1.9,1.2,1.0,0.4,0.0,-0.1,-0.2
Lew Hitch,84.5,3.6,3.3,2.7,2.2,2.2,1.2,,,,,
Frank Kaminsky,84.0,3.6,3.3,2.3,2.0,1.8,1.4,0.9,0.7,,,
Don Reid,84.0,2.9,2.8,2.7,2.3,1.1,1.0,0.9,-0.1,,,
