"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Luka Garza,,1.1,0.8,0.7,0.4
Malik Allen,94.3,1.1,0.9,0.7,0.5
Josh Powell,92.1,1.1,0.7,0.6,0.3
Ray Tolbert,91.6,1.1,0.8,0.7,0.3
Loren Woods,90.8,1.1,0.7,0.5,0.4
Yi Jianlian,88.6,1.3,0.7,0.7,0.4
Bill Hosket,87.3,1.0,1.0,0.6,0.5
Jarell Martin,87.1,1.3,0.8,0.6,0.5
Steve Green,84.7,1.2,1.1,0.7,0.4
Kessler Edwards,82.5,1.2,0.6,0.5,0.4
Tom Hammonds,81.6,0.8,0.8,0.6,0.5
