Season,Team,Lg,Salary
2014-15,Philadelphia 76ers,NBA,"$4,427,640"
2015-16,Philadelphia 76ers,NBA,"$4,626,960"
2016-17,Philadelphia 76ers,NBA,"$4,826,160"
2017-18,Philadelphia 76ers,NBA,"$6,100,266"
2018-19,Philadelphia 76ers,NBA,"$25,467,250"
2019-20,Philadelphia 76ers,NBA,"$27,504,630"
2020-21,Philadelphia 76ers,NBA,"$29,542,010"
2021-22,Philadelphia 76ers,NBA,"$31,579,390"
2022-23,Philadelphia 76ers,NBA,"$33,616,770"
2023-24,Philadelphia 76ers,NBA,"$47,607,350"
2024-25,Philadelphia 76ers,NBA,"$51,415,938"
Career,(may be incomplete),,"$266,714,364"
