"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Terrance Ferguson,,2.8,1.2,0.6,-0.2
Shaedon Sharpe,90.5,3.0,1.2,0.5,
Jaylen Nowell,90.3,2.8,1.2,0.7,0.2
A.J. Green,88.4,2.8,1.1,0.8,
Robert Smith,87.9,2.9,1.4,0.8,0.0
Shammond Williams,86.8,2.9,1.2,0.2,0.0
Harold Ellis,83.4,2.8,0.9,0.9,
Ralph Johnson,83.2,2.9,1.6,0.8,0.0
Justin Jackson,83.0,2.9,1.2,1.0,0.2
Marco Belinelli,82.6,3.4,1.2,0.5,0.0
Howard Eisley,82.3,2.9,1.2,1.0,-0.5
