Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2025-26,23,MEM,NBA,SG,1,0,6,15.9,31.8,0.5,15.9,31.8,0.5,0.0,0.0,0.75,0.0,0.0,0.0,15.9,15.9,0.0,0.0,0.0,0.0,0.0,47.7,134,115,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,6,15.9,31.8,0.5,15.9,31.8,0.5,0.0,0.0,0.75,0.0,0.0,0.0,15.9,15.9,0.0,0.0,0.0,0.0,0.0,47.7,134,115,
