Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,21,GSW,NBA,SG,12,11,385,48,132,0.364,22,67,0.328,26,65,0.4,0.447,17,24,0.708,16,44,60,37,15,2,18,18,135,0,
1 Yr,1 Yr,1 Yr,1 Yr,,12,11,385,48,132,0.364,22,67,0.328,26,65,0.4,0.447,17,24,0.708,16,44,60,37,15,2,18,18,135,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,75,2631,328,902,0.364,150,458,0.328,178,444,0.4,0.447,116,164,0.708,109,301,410,253,103,14,123,123,923,0,
