"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Ryan Gomes,,4.8,4.2,3.1,2.5,2.5,2.4,0.0,-0.2
Lamond Murray,88.0,4.9,4.1,3.3,2.3,2.1,1.2,0.3,-0.3
Kenny Walker,88.0,4.7,4.0,3.1,2.7,1.9,1.3,0.1,
Austin Croshere,86.9,5.4,4.1,3.4,3.2,2.6,2.0,0.3,0.0
Jackie Moreland,86.2,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1
Michael Kidd-Gilchrist,84.9,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2
Jaxson Hayes,84.2,5.1,3.9,3.7,3.5,2.5,1.5,,
Gar Heard,84.1,5.0,4.5,4.5,2.4,2.1,1.7,0.1,-0.3
Nemanja Bjelica,83.4,5.3,4.5,3.0,2.8,1.9,1.5,0.9,
Cameron Johnson,83.4,5.6,5.1,3.5,3.3,2.7,2.6,,
Gary Trent,83.4,5.5,4.0,3.3,3.1,3.0,1.7,0.4,0.1
