Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2014-15,23,MEM,NBA,PG,2,0,3,23.8,0.0,0.0,0.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.241,8.6,0.5,9.1,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,3,23.8,0.0,0.0,0.0,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.241,8.6,0.5,9.1,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,123,23.8,0.0,0.0,0.0,89.6,0.0,0.0,0.0,0.6,0.0,0.6,0.241,8.6,0.5,9.1,0.4,
