"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Luc Mbah a Moute,,4.8,4.7,4.0,3.1,2.8,2.4,1.6,1.1,1.0,0.5,0.0,0.0,,,,
Terrence Ross,89.2,4.3,4.2,3.6,3.5,3.0,2.4,1.6,0.9,0.9,0.3,0.3,,,,,
Austin Croshere,88.6,5.4,4.1,4.1,3.4,3.2,2.6,2.0,1.3,1.1,0.3,0.1,0.0,,,,
Nate Williams,88.2,4.5,4.3,4.0,2.9,2.8,2.5,1.9,0.4,,,,,,,,
Shandon Anderson,87.9,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,,,,,
Ollie Johnson,87.7,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2.0,1.3,0.2,,,,,,
Phil Jackson,87.6,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,,,,
Ron Anderson,87.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,,,,,,
Eduardo NÃ¡jera,87.4,4.8,4.1,4.0,4.0,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,,,,
James Johnson,86.9,5.1,5.0,4.1,3.0,2.6,1.7,1.5,1.3,1.2,1.1,0.8,0.6,0.1,0.0,-0.1,-0.5
Chris Wilcox,86.8,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,,,,,
