"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2018-19,20,BRK,NBA,C,5.0,5.0,110.0,0.594,2.0,1.0,0.813,0.188,0.0,0.0,0.0,0.594,0.692,0.167,,,0.842,0.469,12.0,0.0,0.0,
2019-20,21,BRK,NBA,C,4.0,4.0,132.0,0.583,4.4,1.0,0.625,0.167,0.167,0.042,0.0,0.583,0.6,0.25,0.75,1.0,1.0,0.417,7.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,CLE,NBA,C,5.0,5.0,191.0,0.611,3.5,1.0,0.667,0.222,0.111,0.0,0.0,0.611,0.75,0.5,0.0,,0.818,0.389,14.0,0.0,0.0,
2023-24,25,CLE,NBA,C,4.0,4.0,127.0,0.676,4.0,1.0,0.649,0.243,0.054,0.054,0.0,0.676,0.75,0.778,0.0,0.0,0.96,0.297,10.0,0.0,0.0,
2024-25,26,CLE,NBA,C,9.0,9.0,261.0,0.721,3.7,1.0,0.557,0.344,0.098,0.0,0.0,0.721,0.824,0.571,0.667,,0.841,0.311,18.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,27.0,27.0,821.0,0.653,3.5,1.0,0.647,0.253,0.084,0.016,0.0,0.653,0.74,0.521,0.438,0.333,0.879,0.363,61.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,82.0,2493.0,0.653,3.5,1.0,0.647,0.253,0.084,0.016,0.0,0.653,0.74,0.521,0.438,0.333,0.879,0.363,185.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,18.0,18.0,579.0,0.679,3.7,1.0,0.612,0.284,0.09,0.015,0.0,0.679,0.78,0.605,0.333,0.0,0.868,0.328,42.0,0.0,0.0,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,9.0,9.0,242.0,0.589,3.2,1.0,0.732,0.179,0.071,0.018,0.0,0.589,0.659,0.2,0.75,1.0,0.909,0.446,19.0,0.0,0.0,
