"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2002-03,23,2TM,NBA,PF,48.0,1.0,444.0,0.292,6.3,1.0,0.467,0.292,0.125,0.117,0.0,0.292,0.375,0.2,0.4,0.071,,0.6,0.058,6.0,,,0.0,0.0,
2002-03,23,ORL,NBA,PF,35.0,1.0,322.0,0.271,4.8,1.0,0.506,0.294,0.129,0.071,0.0,0.271,0.349,0.2,0.273,0.0,,0.478,0.071,5.0,,,0.0,0.0,
2002-03,23,MEM,NBA,PF,13.0,0.0,122.0,0.343,7.7,1.0,0.371,0.286,0.114,0.229,0.0,0.343,0.462,0.2,0.75,0.125,,0.833,0.029,1.0,,,0.0,0.0,
2003-04,24,MEM,NBA,PF,2.0,0.0,11.0,0.25,15.1,0.75,0.25,0.0,0.0,0.5,0.25,0.333,0.0,,,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,
2004-05,25,MEM,NBA,SF,35.0,0.0,317.0,0.408,5.9,0.981,0.563,0.175,0.097,0.146,0.019,0.416,0.466,0.278,0.2,0.533,0.0,0.571,0.058,5.0,0.5,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,85.0,1.0,772.0,0.344,8.4,0.987,0.507,0.233,0.11,0.137,0.013,0.348,0.417,0.226,0.32,0.323,0.0,0.59,0.057,11.0,0.333,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,1.0,745.0,0.344,8.4,0.987,0.507,0.233,0.11,0.137,0.013,0.348,0.417,0.226,0.32,0.323,0.0,0.59,0.057,11.0,0.333,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,50.0,0.0,450.0,0.387,9.6,0.979,0.507,0.197,0.099,0.176,0.021,0.396,0.458,0.25,0.357,0.4,0.0,0.636,0.049,6.0,0.333,0.0,0.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,35.0,1.0,322.0,0.271,4.8,1.0,0.506,0.294,0.129,0.071,0.0,0.271,0.349,0.2,0.273,0.0,,0.478,0.071,5.0,,,0.0,0.0,
