"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2002-03,23,2TM,NBA,PF,48.0,1.0,444.0,0.0,0.0,50.0,49.0,1.0,-5.9,-5.6,7.0,3.0,39.0,7.0,17.0,23.0,0.0,26.0,
2002-03,23,ORL,NBA,PF,35.0,1.0,322.0,0.0,0.0,67.0,33.0,1.0,-10.3,-11.2,6.0,3.0,29.0,6.0,11.0,14.0,0.0,21.0,
2002-03,23,MEM,NBA,PF,13.0,0.0,122.0,0.0,0.0,4.0,92.0,4.0,5.6,9.4,1.0,0.0,10.0,1.0,6.0,9.0,0.0,5.0,
2003-04,24,MEM,NBA,PF,2.0,0.0,11.0,0.0,0.0,0.0,81.0,19.0,92.9,90.4,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,
2004-05,25,MEM,NBA,SF,35.0,0.0,317.0,0.0,0.0,8.0,90.0,2.0,-4.2,-7.7,6.0,7.0,16.0,2.0,20.0,14.0,3.0,13.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,85.0,1.0,772.0,0.0,0.0,32.0,66.0,2.0,-3.8,-5.1,14.0,11.0,57.0,9.0,37.0,39.0,3.0,39.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,1.0,745.0,0.0,0.0,32.0,66.0,2.0,-3.8,-5.1,14.0,11.0,55.0,9.0,36.0,38.0,3.0,38.0,
,,,,,,,,,,,,,,,,,,,,,,,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,50.0,0.0,450.0,0.0,0.0,7.0,90.0,3.0,0.9,-0.7,8.0,8.0,28.0,3.0,26.0,25.0,3.0,18.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,35.0,1.0,322.0,0.0,0.0,67.0,33.0,1.0,-10.3,-11.2,6.0,3.0,29.0,6.0,11.0,14.0,0.0,21.0,
