"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Kristaps PorziÅÄ£is,,7.9,7.7,5.6,5.3,5.2,4.5,4.4,4.3,3.2
Nicolas Batum,93.8,7.9,6.6,5.8,5.2,5.0,4.8,4.6,3.7,3.5
Mike Miller,93.1,7.4,7.0,5.3,5.0,4.8,4.5,4.2,4.0,3.9
Xavier McDaniel,91.0,7.4,6.2,5.4,5.3,5.1,5.1,4.6,4.4,2.3
Clarence Weatherspoon,90.8,8.6,6.0,5.8,5.1,5.0,4.5,4.0,3.6,3.3
Taj Gibson,90.3,7.2,5.7,5.4,5.2,4.8,4.7,4.5,4.0,3.3
Brian Grant,89.5,8.7,7.7,6.3,5.9,5.3,4.8,4.7,3.5,1.0
Grant Long,89.3,8.4,7.7,6.6,6.5,5.1,5.0,4.6,2.7,2.6
Tom Sanders,89.2,7.6,7.4,7.2,6.8,5.5,5.4,4.3,4.0,3.0
Mike Mitchell,88.0,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,0.4
Josh Smith,88.0,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4
