"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
John Collins,,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5
Caron Butler,94.0,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1
Purvis Short,93.6,6.2,6.0,5.7,5.4,5.2,5.0,3.7,2.6
John Salley,93.3,6.2,6.1,5.1,4.8,4.8,3.8,3.5,2.5
Tom Gugliotta,92.6,6.7,5.4,5.3,5.2,5.0,3.8,3.5,1.6
Cliff Levingston,92.2,7.0,6.1,5.5,5.5,5.3,4.7,3.4,1.3
Rudy Gay,91.3,6.4,6.0,5.5,5.0,4.8,4.0,3.3,0.5
Taj Gibson,91.0,5.7,5.4,5.2,4.8,4.7,4.5,4.0,3.3
Mike Miller,91.0,7.4,7.0,5.3,5.0,4.8,4.5,4.0,3.9
Clarence Weatherspoon,91.0,6.0,5.8,5.1,5.0,4.5,4.0,3.6,3.3
Keith Van Horn,90.9,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8
