Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23.0,MIA,NBA,SG,1.0,0,23:28,6.0,13.0,0.462,0.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,14.0
2005-06,24.0,MIA,NBA,SG,1.0,1,30:39,9.0,11.0,0.818,0.0,0.0,,2.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,20.0
2006-07,25.0,MIA,NBA,SG,1.0,1,24:22,5.0,12.0,0.417,0.0,0.0,,0.0,0.0,,0.0,0.0,3.0,6.0,0.0,5.0,2.0,10.0
2007-08,26.0,MIA,NBA,SG,1.0,1,21:48,7.0,12.0,0.583,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,2.0,1.0,14.0
2008-09,27.0,MIA,NBA,SG,1.0,1,26:39,6.0,13.0,0.462,2.0,6.0,0.333,4.0,7.0,0.571,2.0,2.0,5.0,3.0,0.0,0.0,2.0,18.0
2009-10,28.0,MIA,NBA,SG,1.0,1,31:20,12.0,16.0,0.75,0.0,1.0,0.0,4.0,6.0,0.667,3.0,6.0,11.0,5.0,0.0,3.0,4.0,28.0
2010-11,29.0,MIA,NBA,SG,1.0,1,20:16,6.0,9.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,2.0,14.0
2011-12,30.0,MIA,NBA,SG,1.0,1,32:54,11.0,15.0,0.733,0.0,1.0,0.0,2.0,2.0,1.0,3.0,10.0,10.0,2.0,0.0,4.0,4.0,24.0
2012-13,31.0,MIA,NBA,SG,1.0,1,28:49,10.0,13.0,0.769,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,7.0,2.0,2.0,4.0,2.0,21.0
2013-14,32.0,MIA,NBA,SG,1.0,1,11:41,5.0,6.0,0.833,0.0,0.0,,0.0,0.0,,1.0,1.0,3.0,2.0,0.0,1.0,0.0,10.0
2014-15,33.0,MIA,NBA,SG,,0,,,,,,,,,,,,,,,,,,
2015-16,34.0,MIA,NBA,SG,1.0,1,22:56,4.0,7.0,0.571,0.0,1.0,0.0,0.0,0.0,,1.0,4.0,6.0,2.0,0.0,3.0,0.0,8.0
2018-19,37.0,MIA,NBA,SG,1.0,0,10:27,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,7.0
Career,,,NBA,,12.0,10,285,83.0,131.0,,4.0,16.0,,18.0,25.0,,18.0,43.0,58.0,27.0,5.0,31.0,20.0,188.0
