"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Nemanja Bjelica,,5.3,4.5,3.0,2.8,1.9,1.5,0.9
Bobby Portis,90.3,5.5,4.8,3.5,2.4,1.9,1.6,1.5
Alan Henderson,89.2,6.0,4.3,3.1,2.0,1.9,1.3,0.7
Kenny Walker,88.9,4.7,4.0,3.1,2.7,1.9,1.3,0.1
Malik Rose,88.6,5.2,4.4,3.4,3.3,2.6,1.1,0.4
George Lynch,88.5,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Shandon Anderson,88.2,4.9,4.2,3.9,2.7,2.0,1.2,0.4
Buck Johnson,87.9,6.2,4.6,3.6,2.3,2.1,1.2,0.7
Chris Wilcox,87.8,6.0,4.4,3.4,2.6,1.3,1.1,0.6
Allan Bristow,87.4,4.4,4.3,3.5,2.8,1.9,1.9,0.5
Paul Griffin,87.0,4.9,4.4,4.1,2.9,1.6,1.4,0.4
