"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Michael Kidd-Gilchrist,,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,,
Gary Trent,89.1,5.5,4.0,3.3,3.1,3.0,2.3,1.7,0.4,0.1,
Andray Blatche,87.7,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,
AndrÃ©s Nocioni,87.4,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,,
Jackie Moreland,86.6,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,,
Len Chappell,85.9,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Michael Smith,85.7,5.4,3.7,3.6,3.3,3.1,2.3,2.1,,,
Willie Cauley-Stein,85.6,6.7,3.9,3.8,2.9,2.9,2.8,0.2,,,
Jaxson Hayes,85.5,5.1,3.9,3.7,3.5,2.5,1.5,,,,
Dario Å ariÄ,85.3,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,,
Ron Franz,85.0,5.9,3.7,3.3,2.2,2.1,0.9,,,,
