"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Qyntel Woods,,1.3,0.2,0.0,-0.2,,
Stephen Howard,85.2,1.3,0.2,0.1,0.0,,
Chris Silva,79.0,1.3,0.3,0.2,0.0,,
Perry Jones,73.2,1.5,0.2,0.0,,,
Damjan RudeÅ¾,73.1,1.3,0.1,0.1,,,
Dwayne Jones,71.6,1.2,0.1,0.1,0.0,0.0,
Jackie Butler,71.4,1.2,0.1,0.1,,,
Mario Bennett,68.9,1.5,0.5,0.0,-0.1,,
Mark Pope,68.5,1.3,0.1,0.0,0.0,-0.1,-0.1
Roy Rogers,68.1,1.4,0.4,-0.1,,,
Brian Evans,67.4,1.5,0.1,0.1,,,
