Season,Team,Lg,Salary
2002-03,Portland Trail Blazers,NBA,"$980,280"
2003-04,Portland Trail Blazers,NBA,"$1,053,720"
2004-05,Portland Trail Blazers,NBA,"$1,127,280"
2005-06,New York Knicks,NBA,"$599,834"
Career,(may be incomplete),,"$3,761,114"
