"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2018-19,19,BRK,NBA,SG,2,0,15,0.667,9.2,0.667,0.667,0.0,0.0,0.0,0.333,1.0,1.0,,,0.0,0.5,0.0,0,0.0,,0,0,
2019-20,20,BRK,NBA,SF,3,0,39,0.182,16.4,0.455,0.273,0.091,0.091,0.0,0.545,0.4,0.333,1.0,0.0,0.0,1.0,0.0,0,0.167,0.0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5,0,54,0.286,12.8,0.5,0.357,0.071,0.071,0.0,0.5,0.571,0.6,1.0,0.0,0.0,0.75,0.0,0,0.143,0.0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,886,0.286,12.8,0.5,0.357,0.071,0.071,0.0,0.5,0.571,0.6,1.0,0.0,0.0,0.75,0.0,0,0.143,0.0,0,0,
