"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Rondae Hollis-Jefferson,,4.1,3.4,2.6,1.2,1.2,0.3,,,,
Dave Budd,91.2,4.1,3.2,2.3,1.2,0.9,,,,,
Linas Kleiza,87.7,4.7,3.6,2.8,1.5,1.2,0.1,-0.3,,,
Marv Roberts,87.1,4.3,3.4,2.4,1.2,0.4,-0.2,,,,
Caleb Martin,84.9,4.0,3.7,2.4,0.6,0.5,0.5,,,,
Jason Caffey,84.6,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,
Dwight Davis,84.3,3.7,3.3,2.3,1.5,0.6,,,,,
KJ Martin,83.1,4.9,2.9,2.2,1.3,1.1,,,,,
Walter McCarty,83.1,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0.0,0.0,-0.2
Jim Petersen,82.5,4.7,3.4,2.9,1.0,0.6,0.4,0.3,0.3,,
Danny Vranes,82.1,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,
