"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
James Wiseman,,2.1,1.4,0.7,0.0,
Joffrey Lauvergne,81.5,2.3,1.5,1.3,0.1,
Justin Hamilton,80.6,2.1,1.5,0.1,,
Charlie Tyra,79.7,2.3,1.5,1.1,0.2,-0.2
Henry Sims,77.2,2.1,2.1,0.4,0.0,
Predrag Drobnjak,75.7,2.4,1.6,1.0,0.7,
Ed Kalafat,74.6,2.6,2.1,0.7,,
Clifford Rozier,73.6,1.6,1.3,1.1,-0.1,
Bob Christian,73.0,2.4,1.9,0.9,0.5,0.0
Sandro Mamukelashvili,72.5,2.2,1.1,1.0,0.9,
Hasheem Thabeet,72.2,2.2,2.0,0.3,0.3,0.0
