"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
RJ Barrett,,4.1,2.9,2.4,2.3,2.2,-0.5
Dennis Schr̦der,91.9,3.7,2.9,2.6,2.5,2.2,-0.7
Charlie Criss,90.3,3.7,2.8,2.5,2.2,2.1,0.1
Trenton Hassell,89.2,4.0,2.7,2.6,2.3,1.5,-0.1
Torrey Craig,87.7,4.0,3.0,2.3,2.2,2.0,0.9
Winston Garland,86.8,4.5,2.9,2.4,1.8,1.7,-0.3
Jerryd Bayless,86.7,4.0,2.7,2.4,2.0,1.6,0.3
Matisse Thybulle,86.5,3.7,2.8,2.3,2.2,2.1,0.9
Evan Turner,85.0,4.0,2.5,2.4,2.3,2.1,1.4
Charlie Bell,84.6,4.0,3.3,2.2,2.0,1.3,-0.2
De'Anthony Melton,84.2,4.2,3.7,2.2,2.1,1.7,0.0
