"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
RJ Barrett,,4.1,2.9,2.4,2.3,2.2,-0.5,,,
Charlie Criss,88.5,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Matisse Thybulle,86.5,3.7,2.8,2.3,2.2,2.1,0.9,,,
Anfernee Simons,85.4,4.2,2.5,2.2,1.9,1.8,0.2,0.1,,
Charlie Bell,83.5,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,,
De'Anthony Melton,83.2,4.2,3.7,2.2,2.1,1.7,0.2,0.0,,
Trenton Hassell,82.3,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Daniel Gibson,81.3,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
Bryn Forbes,79.1,3.8,2.7,2.1,1.5,1.4,0.1,0.0,,
Bob Hansen,79.0,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
Andre Roberson,79.0,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,
