"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Denzel Valentine,,2.5,0.7,0.6,0.5,0.2,,
Vit Krejci,82.9,2.6,0.6,0.6,0.1,,,
Max Christie,81.0,2.7,0.7,0.6,,,,
A.J. Price,76.2,2.2,1.2,0.7,0.3,0.3,0.0,
Dion Glover,75.8,2.6,1.1,0.9,0.8,0.3,0.2,
Franklin Edwards,74.3,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
Cam Thomas,74.1,2.5,1.2,1.0,0.8,,,
Terence Davis,74.0,3.1,0.9,0.8,0.5,0.0,,
Bo Lamar,73.8,2.5,1.5,1.0,0.5,,,
Chris Douglas-Roberts,73.3,2.4,1.6,0.7,0.6,0.1,0.0,
Travis Diener,71.1,2.5,1.9,0.7,0.6,0.0,,
