"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Denzel Valentine,,2.5,0.7,0.6,0.5,0.2
Ben McLemore,90.1,2.5,0.8,0.5,0.4,0.3
Glenn Robinson III,89.7,2.5,0.8,0.7,0.6,0.1
Franklin Edwards,84.0,2.7,0.8,0.6,0.2,0.1
Vit Krejci,82.9,2.6,0.6,0.6,0.1,
Max Christie,81.0,2.7,0.7,0.6,,
Dion Glover,78.7,2.6,1.1,0.9,0.8,0.3
Wayne Ellington,77.5,3.2,0.8,0.7,0.4,0.3
Sasha PavloviÄ,76.5,3.1,0.9,0.8,0.5,0.2
Kris Dunn,74.7,2.3,0.9,0.6,0.1,-0.2
Cam Thomas,74.1,2.5,1.2,1.0,0.8,
