"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jordan Nwora,,1.5,0.6,0.5,0.4,,
Kessler Edwards,88.6,1.2,0.6,0.5,0.4,,
John Thomas,84.5,1.5,0.9,0.4,0.4,0.0,
Jarell Martin,81.4,1.3,0.8,0.6,0.5,,
Yi Jianlian,81.0,1.3,0.7,0.7,0.4,0.0,
Calvin Garrett,77.7,1.4,0.6,0.6,0.0,,
Harry Giles,77.3,1.6,1.0,0.5,0.1,,
D.J. White,76.9,1.8,0.8,0.6,0.4,0.2,0.0
Julian Wright,75.9,1.7,0.8,0.8,0.6,,
Byron Houston,75.3,1.8,0.9,0.7,0.5,,
Ben McDonald,75.0,1.3,0.7,0.3,0.2,,
