"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jared Sullinger,,4.8,4.0,3.9,2.7,-0.1
Ken Norman,93.9,4.8,4.0,4.0,2.9,0.6
Nate Williams,91.5,4.5,4.3,4.0,2.5,0.4
Hakim Warrick,89.7,4.7,4.0,3.7,3.3,0.8
Lionel Simmons,89.3,4.3,3.8,3.8,2.7,0.9
Luc Mbah a Moute,89.1,4.8,4.7,4.0,2.4,0.5
Michael Brooks,89.0,4.9,4.7,4.5,2.4,0.0
Tyler Hansbrough,88.8,4.4,3.9,3.8,3.0,0.7
Marcus Morris,88.4,5.4,4.2,4.0,1.8,-0.2
Bob Boozer,88.1,5.3,3.9,3.9,2.8,1.4
Randy Mahaffey,87.5,5.7,4.7,3.7,2.6,
