"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Brandon Ingram,,5.3,5.1,5.1,3.9,3.5,2.8,2.0,0.0,-0.3,,,,,
Walt Simon,90.9,6.1,4.8,4.5,4.1,3.4,2.7,2.0,,,,,,,
Ben Poquette,86.5,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6,,,,
Ken Norman,85.5,5.2,4.8,4.0,4.0,3.2,2.9,1.9,1.1,0.6,-0.6,,,,
Louis Orr,85.2,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2,,,,,,
Phil Hubbard,84.0,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,,,,
Gerald Govan,83.7,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1.0,0.1,,,,,
Royce O'Neale,83.1,5.6,5.5,4.3,3.4,3.3,2.9,2.8,2.4,,,,,,
Aaron Williams,82.9,5.2,5.0,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1
OG Anunoby,81.8,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0,,,,,,
Jaren Jackson Jr.,81.8,6.6,6.4,5.4,3.5,3.3,3.0,0.7,,,,,,,
