Season,Age,Team,Lg,Pos,G,GS,MP,Awards
2013-14,28,DAL,NBA,C,2,0,8,
2014-15,29,DAL,NBA,C,1,0,2,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3,0,10,
