SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2006,12123,Kenny,Adeleke,Kenny Adeleke,PF-C,78.5,6' 6.5'',79.75,6' 7.75'',250,82.25,6' 10.25'',104.0,8' 8'',10.5,,,28.5,30.5,11.57,,3.47,26.0
2006,200772,Maurice,Ager,Maurice Ager,SG-PG,75.25,6' 3.25'',76.5,6' 4.5'',203,79.75,6' 7.75'',101.5,8' 5.5'',8.0,,,29.5,35.0,11.73,,3.22,11.0
2006,200746,LaMarcus,Aldridge,LaMarcus Aldridge,PF-C,82.0,6' 10'',83.25,6' 11.25'',234,88.75,7' 4.75'',110.0,9' 2'',8.7,,,26.5,34.0,12.02,,3.43,8.0
2006,201165,Morris,Almond,Morris Almond,SG-SF,76.75,6' 4.75'',78.0,6' 6'',214,82.0,6' 10'',102.5,8' 6.5'',6.9,,,31.0,35.5,11.45,,3.19,13.0
2006,200811,Lou,Amundson,Lou Amundson,PF,79.2,6' 7.2'',80.0,6' 8'',221,83.5,6' 11.5'',103.5,8' 7.5'',6.8,,,32.0,35.5,10.58,,3.2,14.0
2006,202151,Rashad,Anderson,Rashad Anderson,SG,75.25,6' 3.25'',76.5,6' 4.5'',224,79.0,6' 7'',100.0,8' 4'',17.3,,,27.5,32.5,11.77,,3.48,13.0
2006,200756,Hilton,Armstrong,Hilton Armstrong,C-PF,81.5,6' 9.5'',82.25,6' 10.25'',240,88.0,7' 4'',109.0,9' 1'',6.3,,,28.5,31.5,12.28,,3.53,13.0
2006,200788,James,Augustine,James Augustine,PF,80.25,6' 8.25'',81.75,6' 9.75'',227,84.25,7' 0.25'',104.0,8' 8'',5.5,,,30.0,32.5,10.54,,3.25,13.0
2006,200764,Renaldo,Balkman,Renaldo Balkman,SF-PF,77.25,6' 5.25'',78.5,6' 6.5'',206,85.0,7' 1'',104.5,8' 8.5'',4.9,,,30.5,35.0,11.58,,3.22,9.0
2006,12124,J.P.,Batista,J.P. Batista,PF,79.5,6' 7.5'',80.5,6' 8.5'',265,82.0,6' 10'',103.5,8' 7.5'',12.0,,,26.0,30.5,11.62,,3.38,26.0
2006,200807,Will,Blalock,Will Blalock,PG,71.25,5' 11.25'',72.5,6' 0.5'',194,78.0,6' 6'',96.5,8' 0.5'',7.2,,,35.0,40.0,11.08,,3.18,8.0
2006,200847,Brandon,Bowman,Brandon Bowman,SF,78.75,6' 6.75'',80.25,6' 8.25'',209,83.5,6' 11.5'',103.0,8' 7'',8.4,,,31.0,34.0,11.41,,3.31,24.0
2006,200758,Ronnie,Brewer,Ronnie Brewer,SG-PG,77.75,6' 5.75'',78.75,6' 6.75'',223,83.25,6' 11.25'',103.5,8' 7.5'',5.0,,,35.0,41.0,11.32,,3.14,19.0
2006,200787,Denham,Brown,Denham Brown,SG-SF,76.0,6' 4'',77.0,6' 5'',218,81.5,6' 9.5'',102.5,8' 6.5'',9.0,,,28.0,34.5,11.42,,3.25,12.0
2006,12125,Brad,Buckman,Brad Buckman,PF,79.25,6' 7.25'',80.75,6' 8.75'',238,84.0,7' 0'',107.5,8' 11.5'',10.5,,,25.5,30.5,12.26,,3.54,10.0
2006,12126,Nik,Caner-Medley,Nik Caner-Medley,SF,78.5,6' 6.5'',80.0,6' 8'',234,81.0,6' 9'',103.0,8' 7'',9.6,,,28.5,35.5,10.57,,3.21,17.0
