SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2000,2124,Malik,Allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,,25.5,29.0,11.83,,3.38,13.0
2000,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,,,29.0,13.8,,,0.0
2000,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,29.5,12.3,,3.4,10.0
2000,12131,Mario,Bland,Mario Bland,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,,27.0,31.0,13.04,,3.47,15.0
2000,2056,Primoz,Brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,,26.0,29.5,11.53,,3.55,
2000,2081,Ernest,Brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,,,,,,2.0
2000,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,,36.0,42.5,10.48,,3.06,6.0
2000,12132,Eric,Coley,Eric Coley,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,,35.0,38.0,11.4,,3.15,10.0
2000,12133,Ed,Cota,Ed Cota,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,,26.5,33.5,10.98,,3.24,1.0
2000,12134,Schea,Cotton,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,34.0,38.0,11.55,,3.0,19.0
2000,2037,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',,,175,82.0,6' 10'',102.5,8' 6.5'',,,,,,,,,0.0
2000,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,,33.5,37.5,12.12,,3.16,18.0
2000,2064,Khalid,El-Amin,Khalid El-Amin,PG,69.0,5' 9'',,,200,73.5,6' 1.5'',93.0,7' 9'',,,,27.5,32.0,10.59,,3.32,6.0
2000,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,6' 9.75'',,,262,82.5,6' 10.5'',106.5,8' 10.5'',,,,21.0,28.5,11.75,,3.52,13.0
2000,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,6' 9.25'',,,219,80.5,6' 8.5'',106.0,8' 10'',,,,27.0,30.0,11.6,,3.44,2.0
2000,2109,Eddie,Gill,Eddie Gill,PG,71.75,5' 11.75'',,,176,76.0,6' 4'',93.0,7' 9'',,,,35.0,38.5,11.12,,3.18,13.0
2000,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,78.0,6' 6'',,,238,82.0,6' 10'',104.5,8' 8.5'',,,,,,,,,
2000,12136,Marcus,Goree,Marcus Goree,SF-PF,79.5,6' 7.5'',,,239,84.5,7' 0.5'',105.5,8' 9.5'',,,,29.5,33.5,12.0,,3.25,13.0
2000,12137,A.J.,Granger,A.J. Granger,SF,79.5,6' 7.5'',,,227,81.5,6' 9.5'',103.0,8' 7'',,,,30.0,34.0,10.73,,3.25,20.0
2000,2062,A.J.,Guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175,75.75,6' 3.75'',97.5,8' 1.5'',,,,33.0,37.5,10.55,,3.22,9.0
2000,2110,Ron,Hale,Ron Hale,SG-SF,79.5,6' 7.5'',,,202,83.0,6' 11'',104.5,8' 8.5'',,,,29.5,34.5,12.58,,3.2,11.0
2000,2078,Jason,Hart,Jason Hart,PG,73.75,6' 1.75'',,,181,78.0,6' 6'',97.5,8' 1.5'',,,,29.5,33.5,11.7,,3.34,9.0
2000,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220,84.5,7' 0.5'',105.5,8' 9.5'',,,,33.0,32.5,11.23,,,15.0
2000,12138,Johnny,Hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200,80.0,6' 8'',100.5,8' 4.5'',,,,31.5,35.0,11.5,,3.19,5.0
2000,12139,Michael,Hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195,78.25,6' 6.25'',98.5,8' 2.5'',,,,29.0,33.0,11.79,,3.25,0.0
2000,2083,Cory,Hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183,83.0,6' 11'',101.5,8' 5.5'',,,,29.5,34.5,11.92,,3.37,0.0
2000,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174,70.0,5' 10'',91.0,7' 7'',,,,,,11.22,,3.32,6.0
2000,2067,Eddie,House,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,,29.5,38.5,11.12,,3.27,5.0
2000,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170,80.0,6' 8'',100.0,8' 4'',,,,29.0,36.0,11.23,,3.35,0.0
2000,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238,83.0,6' 11'',105.5,8' 9.5'',,,,26.0,32.0,11.48,,3.58,3.0
2000,2060,Marko,Jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210,81.0,6' 9'',104.0,8' 8'',,,,27.5,33.0,11.32,,3.28,
2000,12142,Nate,Johnson,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,,27.0,33.5,11.9,,3.33,13.0
2000,12143,Kenyon,Jones,Kenyon Jones,PF-C,81.0,6' 9'',,,282,85.0,7' 1'',108.0,9' 0'',,,,28.5,30.0,12.44,,3.6,20.0
2000,2077,Mark,Karcher,Mark Karcher,SG,76.0,6' 4'',,,218,80.0,6' 8'',102.5,8' 6.5'',,,,27.5,30.5,11.51,,3.4,12.0
2000,12144,Brandon,Kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257,83.25,6' 11.25'',106.5,8' 10.5'',,,,,,,,,7.0
2000,2061,Dan,Langhi,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,,31.0,34.5,10.85,,3.24,12.0
2000,2090,Justin,Love,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,,31.0,38.5,10.99,,3.31,24.0
2000,2058,Mark,Madsen,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,,30.5,33.5,12.12,,3.46,13.0
2000,2082,Dan,McClintock,Dan McClintock,C-PF,83.0,6' 11'',,,250,85.5,7' 1.5'',107.0,8' 11'',,,,33.0,35.0,11.52,,3.33,20.0
2000,2087,Pete,Mickeal,Pete Mickeal,SG-SF,77.0,6' 5'',,,222,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.0,34.5,10.83,,3.06,8.0
2000,12145,Brian,Montonati,Brian Montonati,PF,80.75,6' 8.75'',,,215,82.5,6' 10.5'',106.0,8' 10'',,,,25.0,29.0,11.85,,3.53,5.0
2000,2508,Gabe,Muoneke,Gabe Muoneke,PF-SF,78.25,6' 6.25'',,,244,84.5,7' 0.5'',105.0,8' 9'',,,,30.5,34.0,11.0,,3.4,22.0
2000,12146,Ndongo,N'diaye,Ndongo N'diaye,C,83.5,6' 11.5'',,,208,87.5,7' 3.5'',112.5,9' 4.5'',,,,24.5,27.5,13.16,,3.69,4.0
2000,2059,Eduardo,Najera,Eduardo Najera,PF-SF,78.5,6' 6.5'',,,234.5,83.5,6' 11.5'',104.5,8' 8.5'',,,,28.0,35.0,11.38,,3.45,15.0
2000,12147,Matthew,Nielsen,Matthew Nielsen,PF,81.0,6' 9'',,,223,82.5,6' 10.5'',106.0,8' 10'',,,,26.0,29.0,11.28,,3.35,3.0
2000,2084,Chris,Porter,Chris Porter,SF-PF,77.5,6' 5.5'',,,214,81.5,6' 9.5'',103.5,8' 7.5'',,,,28.5,35.0,10.93,,3.2,6.0
2000,2068,Lavor,Postell,Lavor Postell,SG,76.5,6' 4.5'',,,205,80.5,6' 8.5'',101.5,8' 5.5'',,,,33.5,36.5,11.79,,3.3,17.0
2000,2080,Igor,Rakocevic,Igor Rakocevic,PG,74.5,6' 2.5'',,,184,77.25,6' 5.25'',100.0,8' 4'',,,,27.5,34.0,10.4,,3.1,9.0
2000,12148,Reed,Rawlings,Reed Rawlings,SG-SF,78.25,6' 6.25'',,,218,81.25,6' 9.25'',104.0,8' 8'',,,,28.5,33.5,11.1,,3.27,13.0
2000,2072,Michael,Redd,Michael Redd,SG-SF,76.75,6' 4.75'',,,214,81.0,6' 9'',102.0,8' 6'',,,,27.0,31.0,12.06,,3.34,12.0
2000,12149,Damon,Reed,Damon Reed,PF-C,80.5,6' 8.5'',,,228,81.5,6' 9.5'',104.5,8' 8.5'',,,,27.5,31.5,11.21,,3.31,4.0
2000,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,5' 10.75'',,,189,77.5,6' 5.5'',94.5,7' 10.5'',,,,31.5,37.5,11.13,,3.25,14.0
2000,2121,Terrance,Roberson,Terrance Roberson,SF,77.5,6' 5.5'',,,209,80.0,6' 8'',103.5,8' 7.5'',,,,29.0,32.5,11.66,,,11.0
2000,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72.0,6' 0'',,,184,75.75,6' 3.75'',95.5,7' 11.5'',,,,30.0,37.5,12.54,,3.41,0.0
2000,12023,Pepe,Sanchez,Pepe Sanchez,PG,75.0,6' 3'',,,194,75.5,6' 3.5'',96.0,8' 0'',,,,26.0,31.0,11.62,,3.44,8.0
2000,12024,Matt,Santangelo,Matt Santangelo,PG,72.0,6' 0'',,,177,75.0,6' 3'',94.0,7' 10'',,,,33.5,43.0,10.66,,3.06,12.0
2000,2637,Alex,Scales,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,,38.5,42.5,10.98,,3.21,10.0
2000,12025,Karim,Shabazz,Karim Shabazz,C,83.5,6' 11.5'',,,224,87.0,7' 3'',111.5,9' 3.5'',,,,24.5,28.0,12.72,,3.36,2.0
2000,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273,83.0,6' 11'',107.5,8' 11.5'',,,,23.5,25.5,12.14,,3.52,18.0
2000,2065,Mike,Smith,Mike Smith,SF,78.5,6' 6.5'',,,198,80.5,6' 8.5'',103.0,8' 7'',,,,33.0,21.0,11.32,,3.22,12.0
2000,2074,Jabari,Smith,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,,24.5,30.0,12.45,,3.43,15.0
2000,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,6' 5.25'',,,258,81.25,6' 9.25'',103.0,8' 7'',,,,27.0,29.0,11.98,,3.46,13.0
2000,12028,Bootsy,Thornton,Bootsy Thornton,SG,75.5,6' 3.5'',,,194.5,78.5,6' 6.5'',101.5,8' 5.5'',,,,26.5,31.0,12.08,,3.33,7.0
2000,12029,Jaquay,Walls,Jaquay Walls,PG,73.25,6' 1.25'',,,165.5,74.5,6' 2.5'',96.5,8' 0.5'',,,,28.5,35.5,10.75,,3.23,0.0
2000,12030,Jameel,Watkins,Jameel Watkins,PF-C,81.5,6' 9.5'',,,244.5,90.0,7' 6'',110.0,9' 2'',,,,28.0,30.5,12.38,,3.45,11.0
