SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2024,1642369,Michael,Ajayi,Michael Ajayi,SF,77.75,6' 5.75'',,,227.80,84.75,7' 0.75'',106.5,8' 10.50'',,9.5,9.75,27.0,34.5,11.77,3.17,3.21,,,,,,,17-25,,,,,,,,,,,,,15-30,,,,13-25
2024,1642351,Melvin,Ajinca,Melvin Ajinca,SF,79.25,6' 7.25'',,,213.8,79.5,6' 7.5'',106.5,8' 10.5'',,8.5,9.75,26.5,31.0,11.78,3.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,
2024,1641725,Trey,Alexander,Trey Alexander,SG,75.25,6' 3.25'',,,187.00,82.5,6' 10.50'',101.5,8' 5.50'',,8.75,10.0,26.5,32.0,11.37,2.92,3.21,,,,,,,13-25,,,,,,,,,,,,,21-30,,,,13-25
2024,1641891,Izan,Almansa,Izan Almansa,C,81.25,6' 9.25'',,,219.60,85.0,7' 1.00'',110.0,9' 2.00'',,9.25,9.25,28.0,35.0,10.94,2.96,3.11,,,,,,,10-25,,,,,,,,,,,,,19-30,,,,8-25
2024,1641736,Reece,Beekman,Reece Beekman,PG,73.25,6' 1.25'',,,196.44,78.5,6' 6.50'',100.0,8' 4.00'',,8.5,9.0,30.0,36.5,10.86,3.08,2.94,,,,,,,16-25,,,,,,,,,,,,,22-30,,,,16-25
2024,1641737,Adem,Bona,Adem Bona,C,80.25,6' 8.25'',,,243.20,87.75,7' 3.75'',108.0,9' 0.00'',,9.5,10.0,35.0,40.0,11.01,3.01,3.15,,,,,,,6-25,,,,,,,,,,,,,19-30,,,,
2024,1642350,Trevon,Brazile,Trevon Brazile,PF,81.25,6' 9.25'',,,215.00,87.75,7' 3.75'',108.5,9' 0.50'',,9.0,10.25,33.0,41.0,11.15,3.01,3.09,,,,,,,10-25,,,,,,,,,,,,,16-30,,,,13-25
2024,1641779,Jalen,Bridges,Jalen Bridges,SF,78.75,6' 6.75'',,,213.40,82.0,6' 10.00'',105.0,8' 9.00'',,9.0,10.0,25.0,32.0,11.14,3.0,3.16,,,,,,,18-25,,,,,,,,,,,,,21-30,,,,15-25
2024,1641824,Matas,Buzelis,Matas Buzelis,SF,80.75,6' 8.75'',,,197.00,82.0,6' 10.00'',105.5,8' 9.50'',,8.5,9.25,31.0,38.0,10.73,2.9,3.09,,,,,,,12-25,,,,,,,,,,,,,17-30,,,,13-25
2024,1642267,Carlton,Carrington,Carlton Carrington,PG,75.75,6' 3.75'',,,194.80,80.0,6' 8.00'',99.0,8' 3.00'',,8.5,9.25,28.5,36.5,11.28,2.99,3.16,,,,,,,20-25,,,,,,,,,,,,,21-30,,,,13-25
2024,1642269,Devin,Carter,Devin Carter,SG,74.25,6' 2.25'',,,193.00,80.75,6' 8.75'',98.0,8' 2.00'',,8.75,9.0,35.0,42.0,10.63,2.9,2.87,,,,,,,15-25,,,,,,,,,,,,,20-30,,,,17-25
2024,1642264,Stephon,Castle,Stephon Castle,SG,77.5,6' 5.50'',,,210.00,81.0,6' 9.00'',102.0,8' 6.00'',,8.75,8.75,28.5,37.0,10.93,2.91,3.19,,,,,,,11-25,,,,,,,,,,,,,17-30,,,,18-25
2024,1642279,Ulrich,Chomche,Ulrich Chomche,C,82.25,6' 10.25'',,,232.40,88.0,7' 4.00'',109.0,9' 1.00'',,9.25,10.25,29.0,35.5,11.74,2.84,3.1,,,,,,,10-25,,,,,,,,,,,,,13-30,,,,12-25
