"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Chandler Hutchison,,0.7,0.6,0.0,-0.1
Markel Brown,87.5,0.6,0.5,0.0,
Chasson Randle,85.3,0.7,0.6,0.0,0.0
Kira Lewis Jr.,75.8,0.9,0.6,0.0,-0.1
Stan Pietkiewicz,72.8,1.0,0.6,0.0,
R.J. Hampton,72.4,0.7,0.4,-0.1,-0.2
Zoran PlaniniÄ,72.3,0.8,0.7,0.1,
Tyler Dorsey,71.7,0.6,0.4,0.1,
Carlos Terry,70.5,0.8,0.8,-0.1,
MarJon Beauchamp,69.2,0.7,0.4,0.1,
K.J. McDaniels,68.5,0.6,0.5,0.2,
