draft_year,player_slug,player_name,Season,Age,College,G,MP,Totals_FG,Totals_FGA,Totals_3P,Totals_3PA,Totals_FT,Totals_FTA,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF,Totals_PTS,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST
2000,martike01,Kenyon Martin,1999-00,22.0,CINCY,31,909,221,389,2,7,141,206,76.0,300,42,43,107,56,71.0,585,0.568,0.286,0.684,29.3,18.9,9.7,1.4
2000,swiftst01,Stromile Swift,1999-00,20.0,LSU,34,1013,208,342,7,25,127,206,103.0,279,32,50,95,80,88.0,550,0.608,0.28,0.617,29.8,16.2,8.2,0.9
2000,fizerma01,Marcus Fizer,1999-00,21.0,IOWAST,37,1243,327,562,15,42,175,239,100.0,285,41,29,39,77,103.0,844,0.582,0.357,0.732,33.6,22.8,7.7,1.1
2000,millemi01,Mike Miller,1999-00,19.0,FLORIDA,37,1058,175,368,47,139,124,170,80.0,243,91,46,15,71,70.0,521,0.476,0.338,0.729,28.6,14.1,6.6,2.5
2000,johnsde03,DerMarr Johnson,1999-00,19.0,CINCY,32,879,140,293,52,140,70,95,37.0,123,45,31,30,46,64.0,402,0.478,0.371,0.737,27.5,12.6,3.8,1.4
2000,mihmch01,Chris Mihm,1999-00,20.0,TEXAS,33,1014,206,394,7,15,164,232,116.0,346,22,11,90,81,90.0,583,0.523,0.467,0.707,30.7,17.7,10.5,0.7
2000,crawfja01,Jamal Crawford,1999-00,19.0,MICHIGAN,17,577,105,255,33,101,40,51,7.0,47,76,19,16,53,19.0,283,0.412,0.327,0.784,33.9,16.6,2.8,4.5
2000,przybjo01,Joel Przybilla,1999-00,20.0,MINNESOTA,21,638,122,199,0,0,55,111,54.0,176,50,17,81,77,61.0,299,0.613,,0.495,30.4,14.2,8.4,2.4
2000,doolike01,Keyon Dooling,1999-00,19.0,MISSOURI,31,983,145,373,59,170,124,167,24.0,84,113,44,17,79,56.0,473,0.389,0.347,0.743,31.7,15.3,2.7,3.6
2000,moisoje01,JÃ©rÃ´me MoÃ¯so,1999-00,21.0,UCLA,33,972,170,339,1,6,87,142,84.0,252,40,37,55,88,93.0,428,0.501,0.167,0.613,29.5,13.0,7.6,1.2
2000,thomaet01,Etan Thomas,1999-00,21.0,SYRACUSE,29,940,148,246,0,0,99,146,100.0,269,16,22,107,59,92.0,395,0.602,,0.678,32.4,13.6,9.3,0.6
2000,alexaco02,Courtney Alexander,1999-00,22.0,FRESNOST,27,974,252,564,58,175,107,137,29.0,128,94,37,4,67,61.0,669,0.447,0.331,0.781,36.1,24.8,4.7,3.5
2000,cleavma01,Mateen Cleaves,1999-00,22.0,MICHIGANST,26,820,109,259,32,85,65,86,5.0,46,179,36,4,95,57.0,315,0.421,0.376,0.756,31.5,12.1,1.8,6.9
2000,collija02,Jason Collier,1999-00,22.0,GATECH,30,975,178,376,31,84,122,166,81.0,276,49,23,33,96,80.0,509,0.473,0.369,0.735,32.5,17.0,9.2,1.6
2000,masonde01,Desmond Mason,1999-00,22.0,OKSTATE,34,1202,211,423,64,149,125,163,55.0,225,52,41,33,60,69.0,611,0.499,0.43,0.767,35.4,18.0,6.6,1.5
2000,richaqu01,Quentin Richardson,1999-00,19.0,DEPAUL,33,1150,202,468,73,190,84,119,118.0,325,72,35,9,77,75.0,561,0.432,0.384,0.706,34.8,17.0,9.8,2.2
2000,magloja01,Jamaal Magloire,1999-00,21.0,KENTUCKY,33,978,148,296,0,0,139,203,116.0,300,18,17,57,95,91.0,435,0.5,,0.685,29.6,13.2,9.1,0.5
2000,claxtsp01,Speedy Claxton,1999-00,21.0,HOFSTRA,31,1089,253,538,51,134,149,195,47.0,168,186,102,5,101,71.0,706,0.47,0.381,0.764,35.1,22.8,5.4,6.0
