"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Kessler Edwards,,1.2,0.6,0.5,0.4,,,,
Jordan Nwora,88.6,1.5,0.6,0.5,0.4,,,,
Yi Jianlian,85.0,1.3,0.7,0.7,0.4,0.0,,,
Maceo Baston,84.0,1.1,0.5,0.4,0.3,,,,
Jerome Lane,83.3,1.2,0.6,0.5,0.1,-0.2,,,
Jarell Martin,82.8,1.3,0.8,0.6,0.5,,,,
Luka Garza,82.5,1.1,0.8,0.7,0.4,,,,
Ben McDonald,79.2,1.3,0.7,0.3,0.2,,,,
Shavlik Randolph,77.2,1.1,0.7,0.4,0.1,0.0,0.0,0.0,0.0
Ray Tolbert,76.8,1.1,0.8,0.7,0.3,0.0,,,
Pat McFarland,76.7,1.3,0.7,0.4,,,,,
