"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Darrun Hilliard,,0.5,0.0,-0.2
Stanley Umude,66.3,0.5,0.0,-0.2
Lester Qui̱ones,59.9,0.6,0.0,-0.1
Rich Rinaldi,55.3,0.4,0.0,-0.2
Tyler Ulis,52.0,0.7,0.0,-0.2
Khyri Thomas,51.0,0.5,0.0,0.0
Troy Hudson,48.3,0.5,0.0,-0.2
Joe Young,48.2,0.5,-0.1,-0.1
Rick Brunson,45.3,0.6,-0.1,-0.2
Paul McCracken,43.0,0.5,0.0,0.0
John Lucas III,40.0,0.6,0.0,-0.1
