"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Josh Harrellson,,1.4,0.7,0.0
Robert Sacre,87.9,1.4,0.8,-0.1
Daniel Santiago,85.8,1.2,0.6,0.0
Dick Cunningham,80.4,1.2,1.0,0.0
Earl Williams,79.3,1.3,1.0,0.0
Paul Mokeski,78.7,1.7,0.8,-0.1
Ian Mahinmi,77.5,1.8,0.7,0.2
Eric Fernsten,76.4,1.2,0.5,0.0
P̩tur Gu̡mundsson,75.9,1.4,0.6,0.3
Hank Beenders,74.5,1.1,0.9,-0.1
Bernard James,74.5,1.2,0.5,0.1
