"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Isaiah Thomas,,12.5,9.7,7.7,6.1,5.0,4.3,0.2,0.2,0.0,0.0,-0.2,-0.3
Jalen Brunson,82.8,11.2,8.7,8.3,7.5,5.1,2.6,2.1,,,,,
Steve Francis,81.9,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,,,
Doug Collins,78.7,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,,
Luka DonÄiÄ,77.7,12.0,10.2,8.8,7.7,7.6,5.9,4.9,,,,,
Phil Chenier,77.3,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1,,
Tyrese Haliburton,77.3,10.4,9.0,7.6,7.0,3.5,,,,,,,
James Silas,76.9,13.1,9.8,7.9,7.4,7.0,5.7,5.5,2.4,0.7,0.6,,
Michael Redd,76.7,10.8,9.7,8.0,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1
Jim Paxson,76.5,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,
Brandon Roy,76.4,13.5,9.1,8.0,4.8,2.1,0.0,,,,,,
