"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
JÃ©rÃ´me MoÃ¯so,,1.5,0.8,0.2,-0.1,-0.3
T.J. Leaf,80.1,1.6,0.8,0.3,0.0,
Chris McNealy,78.9,1.6,0.8,0.2,,
Ron Riley,77.6,1.6,0.7,0.2,0.0,
Kevin Loder,76.3,1.5,0.9,0.1,,
Adrian Branch,74.4,1.5,0.7,0.0,-0.1,
Randolph Keys,73.2,1.2,1.0,0.3,0.0,-0.2
Pat McFarland,73.0,1.3,0.7,0.4,,
Ben McDonald,71.1,1.3,0.7,0.3,0.2,
Ron Bonham,70.5,1.8,0.7,0.2,,
Chris Singleton,70.2,1.5,0.5,0.2,,
