Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-12-01,LAC,@,MIA,"L, 123-140",,12,3,4,0.75,0,0,,0,2,0.0,0,1,1,0,0,1,1,0,6,3.6,-5
2025-11-25,LAC,@,LAL,"L, 118-135",,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2025-11-23,LAC,@,CLE,"L, 105-120",,4,0,1,0.0,0,0,,0,0,,1,2,3,0,0,0,0,0,0,0.6,0
2025-11-22,LAC,@,CHO,"W, 131-116",,3,0,2,0.0,0,0,,0,0,,2,0,2,0,0,0,0,1,0,-0.4,-9
2025-11-20,LAC,@,ORL,"L, 101-129",,11,3,3,1.0,0,0,,0,0,,1,0,1,1,0,1,1,1,6,5.8,-13
