Season,Team,Lg,Salary
2009-10,Atlanta Hawks,NBA,"$1,373,880"
2010-11,Atlanta Hawks,NBA,"$1,476,840"
2011-12,Atlanta Hawks,NBA,"$1,579,920"
2012-13,Atlanta Hawks,NBA,"$2,433,077"
2013-14,Atlanta Hawks,NBA,"$8,000,000"
2014-15,Atlanta Hawks,NBA,"$8,000,000"
2015-16,Atlanta Hawks,NBA,"$8,000,000"
2016-17,Indiana Pacers,NBA,"$8,800,000"
2017-18,Minnesota Timberwolves,NBA,"$19,000,000"
2018-19,Minnesota Timberwolves,NBA,"$19,000,000"
2019-20,Atlanta Hawks,NBA,"$19,000,000"
2020-21,Orlando Magic,NBA,"$1,620,564"
2020-21,Milwaukee Bucks,NBA,"$510,589"
Career,(may be incomplete),,"$98,794,870"
