Season,Team,Lg,Salary
2018-19,Philadelphia 76ers,NBA,"$1,690,000"
2019-20,Philadelphia 76ers,NBA,"$1,698,450"
2019-20,Phoenix Suns,NBA,"$81,678"
Career,(may be incomplete),,"$3,470,128"
