"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Cheick Diallo,,2.6,1.9,1.3,0.5,0.1
James Hardy,92.6,2.5,1.8,1.3,0.7,
George Lee,89.1,2.6,1.7,1.2,0.6,0.4
Justin Holiday,88.7,2.5,1.7,1.3,0.6,-0.1
Brady Walker,87.6,2.8,1.9,1.2,1.0,
Keita Bates-Diop,86.9,2.7,1.6,1.2,0.3,0.3
DerMarr Johnson,86.6,3.2,1.7,1.3,0.4,0.0
Chuck Terry,86.4,2.3,2.1,1.2,0.7,0.1
Dorie Murrey,85.6,2.2,1.9,1.6,0.5,0.2
McCoy McLemore,85.2,2.7,1.8,1.7,0.4,-0.3
Richard Anderson,85.0,2.3,2.1,1.3,0.5,0.5
