"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Cheick Diallo,,2.6,1.9,1.3,0.5,0.1,,
James Hardy,92.6,2.5,1.8,1.3,0.7,,,
Brady Walker,87.6,2.8,1.9,1.2,1.0,,,
Chuck Terry,86.4,2.3,2.1,1.2,0.7,0.1,,
George Lee,86.2,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
DerMarr Johnson,84.0,3.2,1.7,1.3,0.4,0.1,0.0,-0.3
Ron Thomas,84.0,2.7,2.0,1.8,0.8,,,
Dorie Murrey,83.9,2.2,1.9,1.6,0.5,0.2,0.1,
Renaldo Balkman,83.8,2.8,2.6,1.3,0.3,0.1,0.0,
Al Eberhard,83.5,2.6,1.8,0.9,0.0,,,
Kenny Williams,83.5,2.7,2.4,1.6,0.7,,,
