"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2002-03,22,MEM,NBA,PF,12.0,0.0,72.0,0.0,0.0,0.0,34.0,67.0,-7.9,-4.5,3.0,2.0,6.0,1.0,9.0,6.0,0.0,2.0,
2003-04,23,3TM,NBA,PF,32.0,3.0,256.0,0.0,0.0,1.0,2.0,97.0,-4.4,-1.1,2.0,1.0,19.0,5.0,10.0,29.0,0.0,2.0,
2003-04,23,PHO,NBA,PF,1.0,0.0,6.0,0.0,0.0,0.0,75.0,25.0,20.5,24.6,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
2003-04,23,ORL,NBA,PF,1.0,0.0,4.0,0.0,0.0,82.0,18.0,0.0,18.2,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2003-04,23,TOR,NBA,C,30.0,3.0,246.0,0.0,0.0,0.0,0.0,100.0,-5.4,-2.2,1.0,1.0,19.0,5.0,10.0,27.0,0.0,2.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,44.0,3.0,328.0,0.0,0.0,1.0,9.0,90.0,-5.2,-1.8,5.0,3.0,25.0,6.0,19.0,35.0,0.0,4.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,611.0,0.0,0.0,1.0,9.0,90.0,-5.2,-1.8,9.0,6.0,47.0,11.0,35.0,65.0,0.0,7.0,
,,,,,,,,,,,,,,,,,,,,,,,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,30.0,3.0,246.0,0.0,0.0,0.0,0.0,100.0,-5.4,-2.2,1.0,1.0,19.0,5.0,10.0,27.0,0.0,2.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,12.0,0.0,72.0,0.0,0.0,0.0,34.0,67.0,-7.9,-4.5,3.0,2.0,6.0,1.0,9.0,6.0,0.0,2.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,1.0,0.0,4.0,0.0,0.0,82.0,18.0,0.0,18.2,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,1.0,0.0,6.0,0.0,0.0,0.0,75.0,25.0,20.5,24.6,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
