"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Brandon Clarke,,6.3,5.0,4.5,4.4,4.2,0.3,,,,,,
Nikola MirotiÄ,83.6,5.7,4.0,3.9,3.8,3.5,,,,,,,
George Carter,83.0,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,,,,
Art Becker,82.5,9.6,5.4,4.6,4.4,3.7,0.3,,,,,,
Roy Hinson,82.0,7.4,5.0,4.5,4.5,4.4,2.5,1.8,0.1,,,,
Goo Kennedy,81.7,5.7,5.0,4.5,4.0,0.8,0.3,,,,,,
Mel Hutchins,81.4,6.9,5.8,4.4,3.9,3.8,2.8,0.3,,,,,
Walt Simon,81.2,6.1,4.8,4.5,4.1,3.4,2.7,2.0,,,,,
Tracy Murray,81.1,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Reggie Williams,80.7,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0.0,-1.1,,
Naz Reid,79.8,5.7,4.9,3.2,3.2,3.0,0.8,,,,,,
