Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2025-26,23,MEM,NBA,SG,1,0,6.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,6.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,
