"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Isaiah Mobley,,0.2,0.0,0.0,
Alando Tucker,78.7,0.2,0.1,0.0,
Easy Parham,76.9,0.3,0.1,0.0,
Mfiondu Kabengele,69.3,0.2,0.2,0.1,
Louis King,60.1,0.3,0.1,0.0,0.0
Doug Edwards,59.7,0.2,0.1,0.0,
Jordan Mickey,58.0,0.3,0.1,0.1,
Pops Mensah-Bonsu,56.5,0.3,0.0,0.0,0.0
Bob Bigelow,51.9,0.4,0.0,0.0,0.0
Jackie Robinson,49.4,0.2,0.1,0.0,
Chris McCullough,42.0,0.3,0.2,0.1,
