"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Timoth̩ Luwawu-Cabarrot,,1.7,0.9,0.8,0.8,0.3,0.2,,
Julian Wright,82.3,1.7,0.8,0.8,0.6,,,,
Nassir Little,81.4,1.7,1.1,0.7,0.7,0.6,,,
Tony Brown,79.7,1.8,1.3,0.9,0.5,0.2,0.2,0.0,
Bruno Fernando,78.3,1.5,0.9,0.8,0.4,0.3,-0.1,,
Henry Walker,77.2,1.9,1.1,0.9,0.5,0.5,,,
Semi Ojeleye,76.7,1.9,1.2,1.2,0.7,0.2,,,
Byron Houston,76.6,1.8,0.9,0.7,0.5,,,,
Pete Verhoeven,76.1,2.1,1.2,0.8,0.7,0.4,0.0,,
Reggie Slater,75.4,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Cartier Martin,75.3,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,
