"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Randy Foye,,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,0.2,,
Bill Hanzlik,92.1,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7,,,
Jordan Clarkson,91.7,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.4,0.2,,
Calbert Cheaney,91.1,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Henry Bibby,90.3,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,,,
Scott Brooks,89.6,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,,,
Darnell Valentine,89.6,5.0,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1.0,,,,
Johnny Egan,89.0,5.1,3.6,3.2,3.1,3.1,2.0,1.4,1.3,0.5,0.5,0.0,,
Maurice Evans,88.9,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,,,
Anthony Johnson,88.3,4.5,4.0,3.6,2.8,2.0,1.8,1.2,1.1,1.0,0.7,0.4,0.3,-0.2
Caris LeVert,88.0,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5,,,,
