Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2004-05,21,NJN,NBA,PF,4.0,4.0,154.0,27.0,48.0,0.563,0.0,0.0,27.0,48.0,0.563,0.563,19.0,24.0,0.792,10.0,20.0,30.0,7.0,1.0,2.0,6.0,20.0,73.0,0.0,
2005-06,22,NJN,NBA,PF,11.0,11.0,366.0,65.0,129.0,0.504,0.0,0.0,65.0,129.0,0.504,0.504,32.0,45.0,0.711,25.0,50.0,75.0,8.0,5.0,10.0,22.0,46.0,162.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,26,OKC,NBA,C,6.0,6.0,129.0,15.0,37.0,0.405,0.0,0.0,15.0,37.0,0.405,0.405,13.0,14.0,0.929,15.0,20.0,35.0,4.0,3.0,4.0,5.0,15.0,43.0,0.0,
2010-11,27,BOS,NBA,C,7.0,0.0,56.0,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,2.0,3.0,0.667,5.0,7.0,12.0,2.0,0.0,4.0,3.0,8.0,12.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,28.0,21.0,705.0,112.0,222.0,0.505,0.0,0.0,112.0,222.0,0.505,0.505,66.0,86.0,0.767,55.0,97.0,152.0,21.0,9.0,20.0,36.0,89.0,290.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,62.0,2065.0,328.0,650.0,0.505,0.0,0.0,328.0,650.0,0.505,0.505,193.0,252.0,0.767,161.0,284.0,445.0,62.0,26.0,59.0,105.0,261.0,849.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),NJN (2 Yrs),,15.0,15.0,520.0,92.0,177.0,0.52,0.0,0.0,92.0,177.0,0.52,0.52,51.0,69.0,0.739,35.0,70.0,105.0,15.0,6.0,12.0,28.0,66.0,235.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,7.0,0.0,56.0,5.0,8.0,0.625,0.0,0.0,5.0,8.0,0.625,0.625,2.0,3.0,0.667,5.0,7.0,12.0,2.0,0.0,4.0,3.0,8.0,12.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,6.0,6.0,129.0,15.0,37.0,0.405,0.0,0.0,15.0,37.0,0.405,0.405,13.0,14.0,0.929,15.0,20.0,35.0,4.0,3.0,4.0,5.0,15.0,43.0,0.0,
