"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 11_level_0', 'Awards')"
2006-07,25,TOR,NBA,SF,3,0,11,0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,301,0,0,0,
