Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2006-07,25,TOR,NBA,SF,3,0,11,0.0,0.0,0.0,0.0,0.0,0.0,29.1,29.1,1.0,4.9,19.4,24.3,4.9,4.9,0.0,4.9,14.6,29.1,179,93,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,11,0.0,0.0,0.0,0.0,0.0,0.0,29.1,29.1,1.0,4.9,19.4,24.3,4.9,4.9,0.0,4.9,14.6,29.1,179,93,
