"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Willie Cauley-Stein,,6.7,3.9,3.8,2.9,2.9,2.8,0.2,,
George Carter,87.4,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,
Michael Kidd-Gilchrist,85.6,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,
Bill Robinzine,85.4,6.9,5.5,3.4,3.0,2.4,2.3,-0.2,,
Bison Dele,85.3,6.9,4.7,4.0,2.4,2.3,1.8,0.3,0.2,
AndrÃ©s Nocioni,84.8,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,
Dario Å ariÄ,84.1,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,
Cameron Johnson,83.6,5.6,5.1,3.5,3.3,2.7,2.6,,,
Gary Trent,82.7,5.5,4.0,3.3,3.1,3.0,2.3,1.7,0.4,0.1
Dick Schnittker,82.5,6.2,5.3,3.5,2.8,2.6,1.6,,,
Mel Hutchins,82.1,6.9,5.8,4.4,3.9,3.8,2.8,0.3,,
