Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,27,DAL,NBA,C,6,0,63,5.0,7.5,0.667,0.0,0.0,5.0,7.5,0.667,0.667,2.5,2.5,1.0,2.5,10.8,13.3,2.5,1.7,3.3,2.5,6.6,12.5,126,114,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,63,5.0,7.5,0.667,0.0,0.0,5.0,7.5,0.667,0.667,2.5,2.5,1.0,2.5,10.8,13.3,2.5,1.7,3.3,2.5,6.6,12.5,126,114,
