"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Desmond Mason,,5.7,5.2,4.7,4.3,1.7,1.5,0.6,0.0,-0.2,-0.3,,
Chris Boucher,86.0,6.1,6.0,5.0,3.8,2.7,1.7,0.7,0.0,,,,
Mitch Kupchak,85.2,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0.0,,,
Luke Jackson,85.0,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,,,,
Goo Kennedy,84.5,5.7,5.0,4.5,4.0,0.8,0.3,,,,,,
Tracy Murray,82.0,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
George Carter,80.7,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0.0,,,,
Brandan Wright,80.7,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,,
Christian Wood,80.2,5.1,4.9,4.8,2.8,1.2,0.8,0.3,0.3,,,,
Paul Griffin,80.1,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,,,
Cameron Johnson,79.9,5.6,5.1,3.5,3.3,2.7,2.6,,,,,,
