"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2014-15,30,DAL,NBA,PF,5,0,43,0.44,19.4,0.24,0.16,0.08,0.0,0.0,0.76,0.5,0.5,0.5,,0.421,0.667,1.0,0.0,0,0.211,0.5,0,0,
2015-16,31,DAL,NBA,PF,4,0,20,0.25,14.2,0.583,0.167,0.333,0.083,0.0,0.417,0.286,1.0,0.0,0.0,0.2,1.0,1.0,0.083,1,0.0,,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,9,0,63,0.378,16.8,0.351,0.162,0.162,0.027,0.0,0.649,0.385,0.667,0.167,0.0,0.375,0.8,1.0,0.027,1,0.167,0.5,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,574,0.378,16.8,0.351,0.162,0.162,0.027,0.0,0.649,0.385,0.667,0.167,0.0,0.375,0.8,1.0,0.027,9,0.167,0.5,0,0,
